Badness  Function
    003  <actix_web::resource::ResourceService as actix_service::Service>::call
    003  <actix_web::handler::Handler<F,T,R> as actix_service::Service>::call
    003  <actix_web::handler::ExtractResponse<T,S> as futures::future::Future>::poll
    003  <actix_web::scope::ScopeService as actix_service::Service>::call
    003  <actix_web::route::RouteServiceWrapper<T> as actix_service::Service>::call
    003  <actix_web::handler::HandlerServiceResponse<T> as futures::future::Future>::poll
    003  <actix_web::app_service::AppRouting as actix_service::Service>::call
    003  <actix_web::handler::ExtractService<T,S> as actix_service::Service>::call
    003  <actix_web::types::payload::HttpMessageBody as futures::future::Future>::poll
    002  <actix_web::route::RouteServiceWrapper<T> as actix_service::Service>::poll_ready
    002  <actix_web::request::HttpRequest as core::ops::drop::Drop>::drop
    002  <actix_web::resource::Resource<T> as actix_web::service::HttpServiceFactory>::register
    002  <actix_web::service::ServiceFactoryWrapper<T> as actix_web::service::ServiceFactory>::register
    002  <actix_web::scope::ScopeFactoryResponse as futures::future::Future>::poll
    002  <actix_web::app_service::AppRoutingFactoryResponse as futures::future::Future>::poll
    002  <actix_web::test::TestRequest as core::default::Default>::default
    001  <actix_web::middleware::logger::Logger as core::default::Default>::default
    001  <actix_web::middleware::logger::Format as core::default::Default>::default
    001  <actix_web::resource::Resource<T> as actix_service::IntoNewService<T>>::into_new_service
    001  <actix_web::resource::CreateResourceService as futures::future::Future>::poll
    001  <actix_web::scope::ScopeEndpoint as actix_service::NewService>::new_service
    001  <actix_web::test::Inner as core::ops::drop::Drop>::drop
    001  <actix_web::middleware::defaultheaders::DefaultHeaders as core::default::Default>::default
    001  <actix_web::app_service::AppEntry as actix_service::NewService>::new_service
    001  <actix_web::app_service::AppRoutingFactory as actix_service::NewService>::new_service
    001  <actix_web::scope::ScopeFactory as actix_service::NewService>::new_service
    001  <actix_web::guard::HeaderGuard as actix_web::guard::Guard>::check
