Badness  Function
    384  <molasses::tls_de::TlsStructSeq<R> as serde::de::SeqAccess>::next_element_seed
    095  <molasses::tls_de::TlsVecSeq<R> as serde::de::SeqAccess>::next_element_seed
    086  <molasses::tls_de::TlsEnumU8<R> as serde::de::VariantAccess>::newtype_variant_seed
    020  <molasses::crypto::ecies::_IMPL_DESERIALIZE_FOR_EciesCiphertext::<impl serde::de::Deserialize for molasses::crypto::ecies::EciesCiphertext>::deserialize::__Visitor as serde::de::Visitor>::visit_seq
    020  <molasses::credential::_IMPL_DESERIALIZE_FOR_Credential::<impl serde::de::Deserialize for molasses::credential::Credential>::deserialize::__Visitor as serde::de::Visitor>::visit_enum
    020  <molasses::handshake::_IMPL_DESERIALIZE_FOR_GroupRemove::<impl serde::de::Deserialize for molasses::handshake::GroupRemove>::deserialize::__Visitor as serde::de::Visitor>::visit_seq
    020  <molasses::credential::_IMPL_DESERIALIZE_FOR_BasicCredential::<impl serde::de::Deserialize for molasses::credential::BasicCredential>::deserialize::__Visitor as serde::de::Visitor>::visit_seq
    020  <molasses::handshake::_IMPL_DESERIALIZE_FOR_DirectPathMessage::<impl serde::de::Deserialize for molasses::handshake::DirectPathMessage>::deserialize::__Visitor as serde::de::Visitor>::visit_seq
    020  <molasses::handshake::_IMPL_DESERIALIZE_FOR_GroupUpdate::<impl serde::de::Deserialize for molasses::handshake::GroupUpdate>::deserialize::__Visitor as serde::de::Visitor>::visit_seq
    020  <molasses::handshake::_IMPL_DESERIALIZE_FOR_GroupOperation::<impl serde::de::Deserialize for molasses::handshake::GroupOperation>::deserialize::__Visitor as serde::de::Visitor>::visit_enum
    018  <molasses::credential::_IMPL_DESERIALIZE_FOR_Roster::<impl serde::de::Deserialize for molasses::credential::Roster>::deserialize::__Visitor as serde::de::Visitor>::visit_newtype_struct
    018  <molasses::handshake::_IMPL_DESERIALIZE_FOR_Handshake::<impl serde::de::Deserialize for molasses::handshake::Handshake>::deserialize::__Visitor as serde::de::Visitor>::visit_seq
    018  <molasses::handshake::_IMPL_DESERIALIZE_FOR_DirectPathNodeMessage::<impl serde::de::Deserialize for molasses::handshake::DirectPathNodeMessage>::deserialize::__Visitor as serde::de::Visitor>::visit_seq
    016  <molasses::handshake::_IMPL_DESERIALIZE_FOR_GroupAdd::<impl serde::de::Deserialize for molasses::handshake::GroupAdd>::deserialize::__Visitor as serde::de::Visitor>::visit_seq
    015  <molasses::handshake::_IMPL_DESERIALIZE_FOR_UserInitKey::<impl serde::de::Deserialize for molasses::handshake::UserInitKey>::deserialize::__Visitor as serde::de::Visitor>::visit_seq
    014  <molasses::ratchet_tree::_IMPL_DESERIALIZE_FOR_RatchetTree::<impl serde::de::Deserialize for molasses::ratchet_tree::RatchetTree>::deserialize::__Visitor as serde::de::Visitor>::visit_seq
    014  <molasses::handshake::test::_IMPL_DESERIALIZE_FOR_MessagesCase::<impl serde::de::Deserialize for molasses::handshake::test::MessagesCase>::deserialize::__Visitor as serde::de::Visitor>::visit_seq
